entry_id,file_id,att_id,hours,rate,amount,description,entry_date
BL-831876,MAT-1011,AT-005,7.1,250,1775.0,Reviewed contract,29/02/20
BL-152672,MAT-1011,AT-003,1.4,375.00,,Reviewed contract,2019-07-28
BL-031914,MAT-1011,AT-004,6.7,250,"$1,675.00",Drafted motion,05/11/19
BL-113878,MAT-1012,AT-003,4.9,300,,Client call,26-Feb-2020
BL-792171,MAT-1012,AT-004,7.8,250,1950,Client call,1663804800
BL-718828,MAT-1012,AT-004,2.5,375,$937.50,Reviewed contract,21/07/21
BL-207356,MAT-1013,AT-005,3.5,375,1312,Drafted motion,17-Apr-2020
BL-905374,MAT-1013,AT-005,4.9,250,"$1,225.00",Prepared discovery,17-Feb-2021
BL-957763,MAT-1021,AT-001,0.5,375,187.5,Reviewed contract,25-May-2020
BL-365163,MAT-1021,AT-002,5.5,375,2062.5,Prepared discovery,02-Jan-2019
BL-763465,MAT-1021,AT-002,2.1,250,$525.00,Reviewed contract,12-Oct-2024
BL-762102,MAT-1021,AT-004,6.6,250,,Prepared discovery,25/08/23
BL-168887,MAT-1022,AT-002,3.5,300,"$1,050.00",Prepared discovery,25/07/19
BL-869598,MAT-1022,AT-005,3.9,375.00,,Prepared discovery,1602547200
BL-267562,MAT-1022,AT-001,2.4,375,900.0,Client call,17-Jan-2022
BL-013124,MAT-1022,AT-003,7.2,375.00,,Prepared discovery,13/09/19
BL-568730,MAT-1023,AT-003,7.3,375,,Prepared discovery,13/09/23
BL-403641,MAT-1023,AT-004,2.1,300,$630.00,Drafted motion,2023-06-02
BL-140323,MAT-1023,AT-004,5.3,375,,Prepared discovery,2021-10-30
BL-593676,MAT-1023,AT-001,0.6,300,180,Client call,25/03/19
BL-194236,MAT-1031,AT-001,4.1,300,1230.0,Reviewed contract,2020-03-18
BL-939158,MAT-1031,AT-002,4.8,250,1200.0,Reviewed contract,2020-05-10
BL-060444,MAT-1032,AT-003,5.5,375.00,2062.5,Client call,19/11/23
BL-974853,MAT-1032,AT-002,5.1,250,,Reviewed contract,21/01/24
BL-634343,MAT-1032,AT-003,4.8,375,1800,Reviewed contract,2022-02-05
BL-747664,MAT-1032,AT-001,1.1,250,275,Reviewed contract,1624665600
BL-353953,MAT-1033,AT-004,5.5,375,"$2,062.50",Reviewed contract,26/10/21
BL-379617,MAT-1033,AT-003,5.9,375,2212,Drafted motion,06-Mar-2021
BL-371002,MAT-1033,AT-002,3.2,375.00,,Drafted motion,20-Feb-2019
BL-109484,MAT-1041,AT-001,3.8,250,$950.00,Client call,03-Sep-2020
BL-176725,MAT-1041,AT-004,8.0,375.00,"$3,000.00",Reviewed contract,23-Oct-2023
BL-792261,MAT-1041,AT-002,5.1,250,,Client call,1547164800
BL-402280,MAT-1041,AT-002,5.7,375,2137,Client call,2023-10-08
BL-801375,MAT-1042,AT-003,7.3,375.00,,Drafted motion,03-Apr-2024
BL-540043,MAT-1042,AT-003,7.6,250,1900.0,Drafted motion,2021-07-26
BL-154294,MAT-1043,AT-004,6.2,250,1550.0,Prepared discovery,1669420800
BL-836298,MAT-1051,AT-005,5.5,250,1375.0,Prepared discovery,27-Dec-2019
BL-945965,MAT-1051,AT-004,2.9,250,,Client call,24-Oct-2024
BL-725946,MAT-1051,AT-001,5.2,250,"$1,300.00",Client call,10-Oct-2020
BL-994184,MAT-1052,AT-003,1.2,375,450,Prepared discovery,1717027200
BL-115710,MAT-1052,AT-004,3.9,375,1462.5,Reviewed contract,11-Jan-2019
BL-568443,MAT-1052,AT-005,6.8,375.00,2550,Prepared discovery,11/08/22
BL-270778,MAT-1052,AT-004,4.8,300,1440.0,Prepared discovery,01/06/19
BL-454746,MAT-1053,AT-002,7.1,250,,Prepared discovery,21-Dec-2021
